text,Real_Label,Predicted_Label
"Cái bàn phím này đèn nháy dở vl, chán!",OFFENSIVE,OFFENSIVE
"Cái app này crash random, fuck nó luôn!",OFFENSIVE,OFFENSIVE
"Máy chơi game lag vl, chán đời!",OFFENSIVE,OFFENSIVE
"Máy tui chơi game nóng vl, chán đời!",OFFENSIVE,OFFENSIVE
"Game này map mới, đẹp vl luôn!",CLEAN,CLEAN
"Net hôm nay tệ vl, chơi không nổi!",OFFENSIVE,OFFENSIVE
Cái headphone này noise cancel ngon!,CLEAN,CLEAN
"Tui cần app sketch free, suggest đi!",CLEAN,CLEAN
"Tui vừa upgrade SSD, máy nhanh hơn!",CLEAN,CLEAN
"Cần tool backup free, ai có không?",CLEAN,CLEAN
Ai có link watch phim 4K không?,CLEAN,CLEAN
"Game này PvP fun, ai chơi chưa?",CLEAN,CLEAN
"Tui vừa join team, vibe chill lắm!",CLEAN,CLEAN
"Game này storyline deep, chơi đi nha!",CLEAN,CLEAN
"Tui vừa buy SSD, tốc độ nhanh vl!",CLEAN,CLEAN
"Cần code PHP, ai share tui với!",CLEAN,CLEAN
"Tui vừa order bàn phím, key ngon lắm!",CLEAN,CLEAN
"Cần tool extract free, ai có không?",CLEAN,CLEAN
"Shop này deal xịn, săn đi mọi người!",CLEAN,CLEAN
"Tui order đồ mà ship lâu vl, chán ghê!",OFFENSIVE,OFFENSIVE
"Tui cần app sketch free, suggest đi!",CLEAN,CLEAN
"Match này team tui lose vì lag, ngu vl!",OFFENSIVE,OFFENSIVE
"Loa này âm thanh méo vl, bực mình!",OFFENSIVE,OFFENSIVE
"Ping cao vl, chơi game lag muốn khóc!",OFFENSIVE,OFFENSIVE
"Order đồ mà ship chậm như shit, chán ghê!",OFFENSIVE,OFFENSIVE
"Server down giữa game, fuck nó luôn!",OFFENSIVE,OFFENSIVE
"Tui mới chơi game này, khó vl!",OFFENSIVE,OFFENSIVE
"Game này PvE đỉnh, ai chơi chưa?",CLEAN,CLEAN
"Tui vừa upgrade SSD, boot nhanh hơn!",CLEAN,CLEAN
"Film này comedy đỉnh, xem đi nha!",CLEAN,CLEAN
Ai biết cách tweak setting game không?,CLEAN,CLEAN
"Tui cần app to-do free, gợi ý nha!",CLEAN,CLEAN
"Máy tui overheat khi chơi, nóng vl!",OFFENSIVE,OFFENSIVE
"Game này patch mới, smooth hơn rồi!",CLEAN,CLEAN
"Cần tool scan virus free, ai biết không?",CLEAN,CLEAN
"Chuột này scroll dở ẹc, fuck luôn!",OFFENSIVE,OFFENSIVE
"Shop đó ship đúng hẹn, ok lắm!",CLEAN,CLEAN
"Cái earbuds này fit ngon, sound đỉnh!",CLEAN,CLEAN
"Máy tui drop FPS khi stream, chán vl!",OFFENSIVE,OFFENSIVE
"Cái monitor này màu nhòe vl, chán lắm!",OFFENSIVE,OFFENSIVE
"Tui test mic mới, sound clear lắm nha!",CLEAN,CLEAN
"Headphone này dây ngắn vl, dở thật!",OFFENSIVE,OFFENSIVE
"Ai biết cách fix error 404 không, help tui với!",CLEAN,CLEAN
"Game này event hot, join đi mọi người!",CLEAN,CLEAN
"Tui vừa join team, vibe chill vl!",CLEAN,CLEAN
"Cần plugin free cho WP, ai biết?",CLEAN,CLEAN
"Tui test webcam mà hình mờ vl, chán đời!",OFFENSIVE,OFFENSIVE
"Webcam này hình nhòe vl, dở hơi thật!",OFFENSIVE,OFFENSIVE
"Server lag kinh khủng, chơi chán vl!",OFFENSIVE,OFFENSIVE
"Cái loa này rè vl, nghe phát bực!",OFFENSIVE,OFFENSIVE
"Cần code PHP, ai share tui với!",CLEAN,CLEAN
"Tui vừa order chuột, click mượt lắm!",CLEAN,CLEAN
Ai có tool edit sound free không?,CLEAN,CLEAN
"Cái app này UI dở ẹc, bực mình!",OFFENSIVE,OFFENSIVE
"Cần app học tiếng Anh, recommend nha!",CLEAN,CLEAN
"Cái earbuds này fit tốt, sound cũng ok!",CLEAN,CLEAN
"Tui vừa post clip, like giùm tui nha!",CLEAN,CLEAN
"Máy khởi động chậm vl, điên tiết!",OFFENSIVE,OFFENSIVE
"Tui vừa buy HDD, dung lượng lớn ghê!",CLEAN,CLEAN
"Game này multiplayer fun lắm, join đi!",CLEAN,CLEAN
"Cái headphone này dây lỏng lẻo, dở vl!",OFFENSIVE,OFFENSIVE
"Shop này uy tín, buy đồ ở đây ok lắm!",CLEAN,CLEAN
"Tai nghe này sound yếu xìu, chán vl!",OFFENSIVE,OFFENSIVE
"Cần plugin free cho WP, ai biết?",CLEAN,CLEAN
"Game này PvE fun, ai chơi chưa?",CLEAN,CLEAN
"Ai biết code HTML basic không, teach tui với!",CLEAN,CLEAN
"Tui vừa join event, prize xịn ghê!",CLEAN,CLEAN
"Cần script Python, ai share tui!",CLEAN,CLEAN
"Ai biết cách setup VPN không, chỉ tui!",CLEAN,CLEAN
"Tui vừa test GPU, benchmark đỉnh!",CLEAN,CLEAN
"Game này update map, đẹp lắm!",CLEAN,CLEAN
Ai biết cách bypass lock này không?,CLEAN,CLEAN
"Game này bug nhiều vl, chơi chán như chó!",OFFENSIVE,OFFENSIVE
"Tui mới test game, FPS drop như mưa!",OFFENSIVE,OFFENSIVE
"Ai có trick boost FPS không, share tui với!",CLEAN,CLEAN
"Film này soundtrack đỉnh, nghe phê!",CLEAN,CLEAN
"Tui test webcam, focus chậm vl!",OFFENSIVE,OFFENSIVE
"Cái bàn phím này typing ngon, nhưng đắt vãi!",OFFENSIVE,OFFENSIVE
"Ai biết cách boost CPU không, chỉ tui!",CLEAN,CLEAN
"Server down nữa rồi, fuck cái hệ thống này!",OFFENSIVE,OFFENSIVE
Ai biết cách mod skin không?,CLEAN,CLEAN
Ai biết cách config server không?,CLEAN,CLEAN
"Headphone này treble chói vl, dở thật!",OFFENSIVE,OFFENSIVE
"Game này fix glitch, mượt hơn rồi!",CLEAN,CLEAN
"Máy tui update xong thì crash liên tục, điên vl!",OFFENSIVE,OFFENSIVE
"Cần code mẫu, ai share tui với!",CLEAN,CLEAN
"Cần code JS, ai share tui với!",CLEAN,CLEAN
"Film này soundtrack đỉnh, nghe phê!",CLEAN,CLEAN
"Game này lỗi nhiều vl, chơi phát bực!",OFFENSIVE,OFFENSIVE
"Server crash lúc căng, fuck cái game này!",OFFENSIVE,OFFENSIVE
"Game này plot hay, chơi đi nha!",CLEAN,CLEAN
"Game này bug đầy, chơi chán như chó!",OFFENSIVE,OFFENSIVE
"Server down hoài, chơi sao nổi vậy trời?",OFFENSIVE,OFFENSIVE
"Cái case này design đẹp, worth mua lắm!",CLEAN,CLEAN
Ai có link torrent phim mới không?,CLEAN,CLEAN
"Shop này ship nhanh, uy tín lắm!",CLEAN,CLEAN
"Mic này thu âm rè vl, bực mình!",OFFENSIVE,OFFENSIVE
"Chơi game mà FPS drop hoài, điên vl!",OFFENSIVE,OFFENSIVE
"Cái bàn phím này RGB đẹp, typing ngon!",CLEAN,CLEAN
"Máy tui lag khi stream, chán vl!",OFFENSIVE,OFFENSIVE
"Ai biết cách boost CPU không, chỉ tui!",CLEAN,CLEAN
"Film này ending đỉnh, xem đi nha!",CLEAN,CLEAN
"Tui vừa order chuột, click mượt lắm!",CLEAN,CLEAN
"Monitor này hiển thị mờ vl, chán ghê!",OFFENSIVE,OFFENSIVE
"Server lag như shit, chơi sao nổi?",OFFENSIVE,OFFENSIVE
"Cái mic này rè như shit, tiền mất tật mang!",OFFENSIVE,OFFENSIVE
"Tui vừa upgrade CPU, máy nhanh hơn!",CLEAN,CLEAN
"Cần tool backup free, ai có không?",CLEAN,CLEAN
"Tui cần app paint free, suggest đi!",CLEAN,CLEAN
"Film này ending shock, xem đi nha!",CLEAN,CLEAN
Ai có link watch phim online không?,CLEAN,CLEAN
Ai biết cách overclock CPU không?,CLEAN,CLEAN
"Film này trending, xem đi mọi người!",CLEAN,CLEAN
"Máy tui crash random, điên vl!",OFFENSIVE,OFFENSIVE
"Game này bug kinh dị, chơi chán lắm!",OFFENSIVE,OFFENSIVE
Ai biết cách mod skin không?,CLEAN,CLEAN
"Cái loa này treble ngon, price rẻ!",CLEAN,CLEAN
"Tui cần app note free, gợi ý đi!",CLEAN,CLEAN
"Film này climax đỉnh, xem đi nha!",CLEAN,CLEAN
"App này lỗi liên tục, dở ẹc thật!",OFFENSIVE,OFFENSIVE
"Film này ending đỉnh, xem đi nha!",CLEAN,CLEAN
"Laptop này chơi game ok, nhưng fan ồn như máy cày!",OFFENSIVE,OFFENSIVE
"Cần tool compress file free, ai có?",CLEAN,CLEAN
"Tui vừa buy SSD, tốc độ nhanh vl!",CLEAN,CLEAN
Ai có link download free game này không?,CLEAN,CLEAN
"Shop này sale đồ xịn, check đi!",CLEAN,CLEAN
"Tui cần app chat free, gợi ý cái nào đi!",CLEAN,CLEAN
Ai có tool record sound free không?,CLEAN,CLEAN
"Cái game này lag như điên, chơi chán vl!",OFFENSIVE,OFFENSIVE
"Cái loa này treble chói tai, dở hơi vl!",OFFENSIVE,OFFENSIVE
"Tui mới chơi game này, khó vl!",OFFENSIVE,OFFENSIVE
"Cái bàn phím này RGB xịn, typing ngon!",CLEAN,CLEAN
Cái headphone này noise cancel ngon!,CLEAN,CLEAN
"Tui vừa buy RAM, máy mượt hơn!",CLEAN,CLEAN
"Máy nóng vl, chạy muốn cháy luôn!",OFFENSIVE,OFFENSIVE
Ai có link stream phim mới không?,CLEAN,CLEAN
"Game này update đẹp, thử đi ai!",CLEAN,CLEAN
"Shop đó ship đúng hẹn, ok lắm!",CLEAN,CLEAN
"Film này rating cao, xem đi mọi người!",CLEAN,CLEAN
"Server down lúc căng, fuck cái hệ thống!",OFFENSIVE,OFFENSIVE
"Film này CGI đỉnh, xem thích lắm!",CLEAN,CLEAN
Ai biết cách mod game này không?,CLEAN,CLEAN
"Game này storyline hay, recommend nha!",CLEAN,CLEAN
"Máy tui lag khi render, bực vl!",OFFENSIVE,OFFENSIVE
Ai có tool edit sound free không?,CLEAN,CLEAN
Ai biết cách unlock game không?,CLEAN,CLEAN
"Game này plot hay, chơi đi nha!",CLEAN,CLEAN
"Tui mới chơi game này, khó vl!",OFFENSIVE,OFFENSIVE
"Máy tui nóng như lò, fuck cái cooling này!",OFFENSIVE,OFFENSIVE
"Game này event hot, join đi mọi người!",CLEAN,CLEAN
"Máy tui restart random, bực vl!",OFFENSIVE,OFFENSIVE
Ai biết cách mod skin game không?,CLEAN,CLEAN
"Game này fix glitch, mượt hơn rồi!",CLEAN,CLEAN
"Cái bàn phím này gõ cứng vl, bực mình!",OFFENSIVE,OFFENSIVE
Ai biết cách config server không?,CLEAN,CLEAN
"Tui cần app paint free, suggest đi!",CLEAN,CLEAN
"Cần app học code, recommend đi!",CLEAN,CLEAN
"Game này fix bug, chơi mượt hơn!",CLEAN,CLEAN
"Tui order đồ, tracking không chạy!",CLEAN,CLEAN
"Cái tai nghe này đứt dây nhanh vl, đểu thật!",OFFENSIVE,OFFENSIVE
"Film này hype quá, worth xem không mọi người?",CLEAN,CLEAN
Ai biết cách tweak setting không?,CLEAN,CLEAN
"Cần app học code free, recommend!",CLEAN,CLEAN
"Game này event mới, join đi mọi người!",CLEAN,CLEAN
Ai có link download phim HD không?,CLEAN,CLEAN
"Ai biết chỗ repair phone cheap không, chỉ tui!",CLEAN,CLEAN
"Máy tui lag khi stream, chán vl!",OFFENSIVE,OFFENSIVE
"Shop này deal ngon, săn đi mọi người!",CLEAN,CLEAN
"Máy tui crash khi stream, bực vl!",OFFENSIVE,OFFENSIVE
"Cần app học code free, recommend!",CLEAN,CLEAN
"Server lag hoài, fuck cái hệ thống!",OFFENSIVE,OFFENSIVE
"Tui cần app note free, gợi ý đi!",CLEAN,CLEAN
"Monitor này sáng tối lung tung, chán vl!",OFFENSIVE,OFFENSIVE
"Game này event mới, join đi mọi người!",CLEAN,CLEAN
"Máy tui freeze khi render, bực vl!",OFFENSIVE,OFFENSIVE
"Tui cần app sketch free, suggest đi!",CLEAN,CLEAN
"Film này CGI đỉnh, xem thích lắm!",CLEAN,CLEAN
"Game này plot twist hay, chơi đi!",CLEAN,CLEAN
"Cái tai nghe này bass yếu xìu, dở vl!",OFFENSIVE,OFFENSIVE
Ai có link watch phim 4K không?,CLEAN,CLEAN
"Tui cần app draw free, suggest đi!",CLEAN,CLEAN
"Game này map mới, đẹp vl luôn!",CLEAN,CLEAN
"Film này CGI đẹp, xem thích lắm!",CLEAN,CLEAN
"Shop này discount xịn, săn thử đi!",CLEAN,CLEAN
"Tui vừa order loa, bass mạnh lắm!",CLEAN,CLEAN
"Game này event hot, join đi mọi người!",CLEAN,CLEAN
"Game này patch mới, smooth hơn rồi!",CLEAN,CLEAN
"Game này storyline hay, recommend nha!",CLEAN,CLEAN
"Tui vừa test app, bug đầy, dở vl!",OFFENSIVE,OFFENSIVE
"Cần plugin free cho WP, ai biết?",CLEAN,CLEAN
"Máy tui blue screen, chết tiệt!",OFFENSIVE,OFFENSIVE
"Cần software crack, ai có link không?",CLEAN,CLEAN
"Tui mới test speed net, ping cao kinh khủng!",OFFENSIVE,OFFENSIVE
Ai có tool edit audio free không?,CLEAN,CLEAN
"Game này storyline đỉnh, recommend nha!",CLEAN,CLEAN
"Cái chuột này click dở ẹc, chán ghê!",OFFENSIVE,OFFENSIVE
"Máy tui lag khi stream, chán vl!",OFFENSIVE,OFFENSIVE
Ai có link stream bóng đá không?,CLEAN,CLEAN
"Tui order đồ, tracking không chạy!",CLEAN,CLEAN
"Cái mic này âm thanh tệ vl, phí tiền!",OFFENSIVE,OFFENSIVE
"Shop này deal xịn, săn đi mọi người!",CLEAN,CLEAN
Ai biết cách tweak setting không?,CLEAN,CLEAN
"Server disconnect liên tục, shit thật!",OFFENSIVE,OFFENSIVE
"Máy tui overheat khi chơi, nóng vl!",OFFENSIVE,OFFENSIVE
"Cần app học lập trình, suggest đi!",CLEAN,CLEAN
Ai biết cách config server không?,CLEAN,CLEAN
"Cần app học lập trình free, gợi ý!",CLEAN,CLEAN
"Máy tui chơi game drop FPS, chán vl!",OFFENSIVE,OFFENSIVE
"Cái bàn phím này key hỏng nhanh vl, chán!",OFFENSIVE,OFFENSIVE
"Film này CGI đỉnh, xem thích lắm!",CLEAN,CLEAN
"Bàn phím này gõ đau tay vl, bực mình!",OFFENSIVE,OFFENSIVE
Ai có link watch phim 4K không?,CLEAN,CLEAN
"Tui vừa buy RAM, máy nhanh hơn!",CLEAN,CLEAN
"Máy nóng như lửa, cooling đểu vl!",OFFENSIVE,OFFENSIVE
Ai có link torrent game mới không?,CLEAN,CLEAN
"Film này action hay, xem đi nha!",CLEAN,CLEAN
"Cái case này giữ nhiệt vl, ngu thật!",OFFENSIVE,OFFENSIVE
"Film này action hay, xem đi nha!",CLEAN,CLEAN
"Film này plot twist hay, xem đi!",CLEAN,CLEAN
"Cái tai nghe này fit ngon, sound xịn!",CLEAN,CLEAN
"Shop này sale đồ xịn, check thử đi!",CLEAN,CLEAN
"Mouse này click ngon, price cũng ổn!",CLEAN,CLEAN
"Máy nóng bỏng tay, dở hơi thật!",OFFENSIVE,OFFENSIVE
"Tui test webcam, focus chậm vl!",OFFENSIVE,OFFENSIVE
Ai có tool record audio free không?,CLEAN,CLEAN
Ai có tool record audio free không?,CLEAN,CLEAN
"Film này comedy đỉnh, xem đi nha!",CLEAN,CLEAN
"Mạng hôm nay chậm như rùa, bực mình vl!",OFFENSIVE,OFFENSIVE
Ai có link download phim HD không?,CLEAN,CLEAN
"Game này matchmaking lâu vl, chán lắm!",OFFENSIVE,OFFENSIVE
"Tui cần app paint free, gợi ý đi!",CLEAN,CLEAN
"Cái bàn phím này gõ dở vl, bực mình!",OFFENSIVE,OFFENSIVE
"Game này event mới, join đi mọi người!",CLEAN,CLEAN
"Game này map load lâu vl, bực mình!",OFFENSIVE,OFFENSIVE
"Tui vừa post clip, like giùm tui nha!",CLEAN,CLEAN
"Tui vừa post clip, like giùm tui nha!",CLEAN,CLEAN
"Cái loa này sound như rác, bực vl!",OFFENSIVE,OFFENSIVE
Ai có link torrent phim mới không?,CLEAN,CLEAN
"Máy tui freeze khi chơi, bực vl!",OFFENSIVE,OFFENSIVE
"Shop này sale đồ xịn, check đi!",CLEAN,CLEAN
"Game này co-op fun, rủ bạn chơi!",CLEAN,CLEAN
Ai biết cách unlock game không?,CLEAN,CLEAN
"Game này co-op fun, rủ bạn chơi!",CLEAN,CLEAN
"Máy tui crash random, điên vl!",OFFENSIVE,OFFENSIVE
"App này giao diện xấu vl, dở hơi!",OFFENSIVE,OFFENSIVE
"Tui vừa test app mới, UI xài mượt thật!",CLEAN,CLEAN
Cái headphone này noise cancel ngon!,CLEAN,CLEAN
"Tui vừa buy RAM, máy nhanh hơn!",CLEAN,CLEAN
"Ai biết cách reset router không, chỉ tui!",CLEAN,CLEAN
"Cái loa này bass như shit, nghe bực!",OFFENSIVE,OFFENSIVE
"Tui vừa install game, load lâu vl!",OFFENSIVE,OFFENSIVE
"Tui cần tool design logo, free thì càng tốt!",CLEAN,CLEAN
Ai có link torrent phim mới không?,CLEAN,CLEAN
"Cần app học lập trình free, gợi ý!",CLEAN,CLEAN
"Tui order đồ, shipping fee đắt vl!",OFFENSIVE,OFFENSIVE
"Máy tui render chậm vl, muốn đập luôn!",OFFENSIVE,OFFENSIVE
"Net rớt giữa trận, fuck cái mạng này!",OFFENSIVE,OFFENSIVE
"Tui vừa install game, load lâu vl!",OFFENSIVE,OFFENSIVE
"Cái monitor này flicker hoài, chán vl!",OFFENSIVE,OFFENSIVE
Ai biết cách tweak game này không?,CLEAN,CLEAN
"Film này comedy đỉnh, xem đi nha!",CLEAN,CLEAN
Ai có link stream phim mới không?,CLEAN,CLEAN
"Cần code PHP, ai share tui với!",CLEAN,CLEAN
"Film này twist hay, xem đi không tiếc!",CLEAN,CLEAN
"Máy render lâu vl, chán muốn chết!",OFFENSIVE,OFFENSIVE
"Film này soundtrack hay, nghe phê!",CLEAN,CLEAN
"Game này mode mới, thử chưa ai?",CLEAN,CLEAN
"Ai biết cách reset modem không, chỉ tui!",CLEAN,CLEAN
"Game này storyline hay, recommend nha!",CLEAN,CLEAN
"Ai biết cách boost RAM không, chỉ tui!",CLEAN,CLEAN
"Tui vừa build PC budget, performance đỉnh lắm!",CLEAN,CLEAN
"Ai có link film HD không, share tui với!",CLEAN,CLEAN
"Cần driver mới, tìm đâu ra bây giờ?",CLEAN,CLEAN
Ai biết cách tweak setting không?,CLEAN,CLEAN
"Cần script CSS, ai share tui với!",CLEAN,CLEAN
"Net hôm nay ping cao vl, chơi sao nổi?",OFFENSIVE,OFFENSIVE
"Tui vừa order chuột, click mượt lắm!",CLEAN,CLEAN
"Shop đó ship đúng hẹn, ok lắm!",CLEAN,CLEAN
"Shop đó ship đúng hẹn, ok lắm!",CLEAN,CLEAN
"Game này update mới, bug ít hơn rồi!",CLEAN,CLEAN
"Tui mới chơi game này, khó vl!",OFFENSIVE,OFFENSIVE
"Cái chuột này click tệ vl, chán ghê!",OFFENSIVE,OFFENSIVE
"Net hôm nay lag kinh khủng, fuck luôn!",OFFENSIVE,OFFENSIVE
"Ai biết cách reset modem không, chỉ tui!",CLEAN,CLEAN
"Cái headphone này sound đỉnh, nhưng dây ngắn!",CLEAN,CLEAN
"Cái app này crash hoài, xài chán đời!",OFFENSIVE,OFFENSIVE
"Game này patch mới, smooth hơn!",CLEAN,CLEAN
Ai biết cách unlock game không?,CLEAN,CLEAN
"Game này event hot, join đi mọi người!",CLEAN,CLEAN
"Cái headphone này sound tệ vl, phí tiền!",OFFENSIVE,OFFENSIVE
"Code này run ngon, share source đi bạn!",CLEAN,CLEAN
Ai biết cách overclock GPU không?,CLEAN,CLEAN
"Cái laptop này chậm vl, muốn đập luôn!",OFFENSIVE,OFFENSIVE
"Cần tool zip file free, ai có không?",CLEAN,CLEAN
"Cần tool extract free, ai có không?",CLEAN,CLEAN
"Cái chuột này scroll lag, shit thật!",OFFENSIVE,OFFENSIVE
"Máy tui drop FPS khi stream, chán vl!",OFFENSIVE,OFFENSIVE
"Film này plot twist hay, xem đi!",CLEAN,CLEAN
"Ai biết cách boost CPU không, chỉ tui!",CLEAN,CLEAN
"Máy tui freeze khi render, bực vl!",OFFENSIVE,OFFENSIVE
"Cần plugin SEO free, ai share!",CLEAN,CLEAN
"Game này event mới, join không mọi người?",CLEAN,CLEAN
Ai có tool record screen free không?,CLEAN,CLEAN
"Game này storyline đỉnh, recommend nha!",CLEAN,CLEAN
"Film này ending đỉnh, xem đi nha!",CLEAN,CLEAN
"Tui cần app to-do free, gợi ý nha!",CLEAN,CLEAN
"Mạng hôm nay rớt hoài, fuck cái wifi này!",OFFENSIVE,OFFENSIVE
"Ai chơi map này chưa, hard vl luôn!",OFFENSIVE,OFFENSIVE
"Update xong máy lag kinh dị, ngu vl!",OFFENSIVE,OFFENSIVE
"Game này PvE đỉnh, ai chơi chưa?",CLEAN,CLEAN
Ai có link stream phim mới không?,CLEAN,CLEAN
"Tui order đồ, shipping fee đắt vl!",OFFENSIVE,OFFENSIVE
"Cần tool extract free, ai có không?",CLEAN,CLEAN
"Game này load map lâu vl, chán lắm!",OFFENSIVE,OFFENSIVE
"Cái earbuds này design đẹp, sound đỉnh!",CLEAN,CLEAN
Ai biết cách overclock GPU không?,CLEAN,CLEAN
"Shop này sale đồ xịn, check đi!",CLEAN,CLEAN
